Rpt Dist No,total_crime,shannon_index,normalized_shannon
0818,87,1.5797650621471164,0.7597064069764301
0819,230,1.6182678747020731,0.7782223458875345
0821,132,1.61943574360355,0.7787839721117242
0822,462,1.5477757950987705,0.744322821332323
0823,420,1.4749703291129033,0.7093107930898493
0824,456,1.5459614191535072,0.7434502909394763
0825,168,1.2680393187969576,0.60979801229353
0826,204,1.4223634300224481,0.68401222227840075
0827,765,1.4033586026203537,0.6748728321964167
0828,414,1.5929202502843014,0.7660327152055895
0829,621,1.500336695587289,0.7215094367958388
0831,1028,1.4016294888248806,0.6740413042304627
0832,966,1.486784715328762,0.7149923118914382
0833,963,1.567758952154886,0.7539326885277107
0834,697,1.4907583775500155,0.7169032394850282
0835,1355,1.4553218949205686,0.6998618935663445
0836,835,1.3940370527282233,0.6703901142621581
0837,141,1.3225622496058997,0.6360179995911277
0838,265,1.447909375487255,0.696297225224033
0839,1730,1.0938142501725494,0.5260134647925391
0841,1001,1.519926378092209,0.7309300827299846
0842,1203,1.497491295398353,0.7201410885485313
0843,7,0.9556998911125343,0.4595944978287252
0847,510,1.3551231523603076,0.651676483901345
0848,161,1.376309942766985,0.6618651763853675
0849,1260,1.5347763320496832,0.7380714010406104
0851,624,1.5840872842746865,0.7617849564527853
0852,1824,0.996023428465142,0.4789860202852946
0853,1403,1.5425673525870103,0.7418180899381657
0854,202,1.6167065290668798,0.7774714973525322
0855,1097,1.4675374100237215,0.7057363145867522
0857,878,1.5034000126383775,0.7229825809019308
0858,422,1.5584828215533086,0.7494718126551992
0859,1122,1.6040326989232472,0.7713766733867695
0861,68,1.2850992796682823,0.6180021192758034
0871,46,1.2036911992216068,0.5788531079595672
0872,7,1.0042424730540764,0.48293854524172825
0881,1405,1.4600140029863664,0.7021183205789584
0882,921,1.3843401819718735,0.6657269051447158
0883,347,1.451218807861069,0.697888725781986
0884,1223,1.3295974253522123,0.6394012039781235
0885,624,1.2876180400446666,0.6192133869772025
0886,312,1.5712158307631754,0.7555950957360887
0887,408,1.42467701890588,0.6851248233479951
0889,1422,1.4989590932677503,0.7208469501176002
0891,166,1.5918961882600322,0.7655402454709308
0892,464,1.4815340536167763,0.7124672773536823
0893,529,1.5572735622180125,0.7488902818398058
0895,465,1.6476725756828974,0.7923630179821538
0896,133,1.1980246996493307,0.5761280976821931
0897,567,1.38706064379586,0.6670351707388468
0898,845,1.5065330918387656,0.7244892735103016
0899,535,1.5723475622177965,0.756139343521822
0900,1,-0,-0
0901,798,1.6805499085441484,0.8081736730076814
0904,1886,1.5146892829741896,0.7284115723448411
0905,824,1.6121438695898103,0.7752773219522544
0906,928,1.6719023395431272,0.8040150713698418
0909,1157,1.5799499225396194,0.7597953060336037
0911,1358,1.6470456453077655,0.792061528201092
0914,2051,1.6744352764314543,0.8052331565324
0915,952,1.6602595038776824,0.7984160509443677
0916,551,1.6147789630425782,0.7765445340377835
0917,1,-0,-0
0919,709,1.5521502617030385,0.7464264950911602
0921,1,-0,-0
0922,2,0.6931471805599453,0.33333333333333337
0923,1715,1.5965975891875286,0.767801141405374
0926,1586,1.630920266080365,0.7843068599864839
0927,1,-0,-0
0929,324,1.6086316133149237,0.7735882837155511
0931,387,1.4175865216717558,0.6817150149489591
0932,864,1.6105360603094845,0.774504129127114
0933,823,1.6737123536068144,0.8048855041410488
0934,1,-0,-0
0935,1250,1.7419688150802628,0.837709923633173
